customer_id,ticker,quantity
C661,MSFT,-10
C946,AMD,10
C443,FAKE,10
C272,NVDA,20
C817,FAKE,20
C757,AAPL,5
C475,FAKE,10
C173,GOOGL,10
C243,FAKE,-10
C355,AMZN,10
C779,MSFT,-10
C525,GOOGL,-10
C473,FAKE,10
C948,META,10
C819,AAPL,5
C285,FAKE,5
C361,FAKE,10
C600,AAPL,10
C312,META,20
C569,TSLA,20
C406,NFLX,-10
C392,AMZN,-10
C912,MSFT,5
C160,FAKE,5
C407,NVDA,20
C696,TSLA,10
C945,AMZN,10
C838,FAKE,-10
C636,AAPL,20
C359,AAPL,5
C187,TSLA,10
C861,INTC,10
C944,AMD,20
C686,INTC,5
C694,NFLX,20
C806,FAKE,5
C121,TSLA,-10
C883,AMD,20
C75,AMD,20
C501,NFLX,10
C460,AMD,10
C477,MSFT,10
C926,NFLX,20
C50,NVDA,20
C599,TSLA,5
C763,INTC,20
C894,AMZN,-10
C678,GOOGL,20
C454,AMZN,5
C203,TSLA,20
C341,TSLA,10
C256,TSLA,20
C809,AAPL,5
C275,AMD,20
C584,INTC,20
C702,NFLX,10
C913,NVDA,5
C167,GOOGL,5
C125,AMD,5
C250,NVDA,-10
C477,NFLX,10
C568,INTC,10
C666,AAPL,10
C425,AAPL,20
C513,META,5
C465,AMD,-10
C474,NVDA,10
C196,AMZN,-10
C432,NFLX,-10
C869,AMD,5
C220,META,10
C171,AMZN,20
C547,AMD,20
C763,GOOGL,-10
C319,MSFT,10
C296,AMZN,-10
C114,NVDA,20
C201,MSFT,-10
C105,MSFT,10
C461,NFLX,20
C967,FAKE,20
C307,MSFT,-10
C916,AMZN,20
C584,META,-10
C343,TSLA,-10
C167,MSFT,20
C589,NFLX,20
C168,FAKE,-10
C53,AMD,-10
C654,META,-10
C648,NVDA,10
C234,GOOGL,5
C564,AMZN,5
C439,FAKE,10
C188,AMD,-10
C746,AMD,20
C996,GOOGL,5
C331,AMZN,10
C651,GOOGL,10
C803,META,5
C499,MSFT,-10
C229,AAPL,20
C631,AMD,-10
C224,TSLA,-10
C109,FAKE,20
C397,GOOGL,10
C183,AAPL,10
C515,INTC,-10
C683,FAKE,20
C877,INTC,-10
C287,INTC,5
C682,NFLX,-10
C731,INTC,10
C976,AMD,5
C242,GOOGL,-10
C385,AAPL,10
C312,META,-10
C53,MSFT,10
C468,FAKE,20
C435,GOOGL,10
C976,NFLX,5
C818,AMZN,10
C775,GOOGL,10
C60,AMD,-10
C523,FAKE,10
C519,GOOGL,20
C855,AMZN,-10
C704,AAPL,-10
C650,AAPL,-10
C869,AMD,10
C801,AAPL,20
C643,AMZN,-10
C863,INTC,5
C959,META,20
C170,META,-10
C50,META,5
C464,NFLX,-10
C771,INTC,5
C767,NVDA,5
C318,GOOGL,-10
C79,INTC,20
C734,MSFT,10
C990,MSFT,10
C495,GOOGL,20
C413,INTC,-10
C285,NVDA,-10
C152,AAPL,-10
C869,MSFT,5
C67,AAPL,5
C814,NFLX,5
C231,NVDA,5
C498,MSFT,5
C899,META,20
C102,MSFT,-10
C456,NFLX,5
C802,TSLA,-10
C458,MSFT,10
C963,FAKE,20
C559,META,20
C612,NVDA,-10
C488,INTC,10
C164,MSFT,5
C804,TSLA,20
C548,NFLX,5
C663,AMD,5
C282,TSLA,20
C50,NFLX,20
C160,AMZN,10
C18,NFLX,5
C433,INTC,-10
C744,NFLX,-10
C535,GOOGL,20
C832,MSFT,-10
C339,NFLX,5
C872,AMZN,10
C31,TSLA,-10
C894,FAKE,20
C584,AMZN,5
C698,AMZN,10
C995,NFLX,10
C970,AMD,-10
C250,MSFT,5
C816,FAKE,20
C20,MSFT,10
C988,FAKE,5
C735,AMZN,20
C408,INTC,10
C757,GOOGL,-10
C468,FAKE,-10
C849,META,20
C225,AMZN,5
C492,TSLA,10
C813,AAPL,10
C813,INTC,-10
C367,INTC,-10
C279,MSFT,20
C434,TSLA,20
C78,TSLA,20
C834,TSLA,-10
C722,AMZN,10
C142,AMZN,5
C251,TSLA,5
C389,NFLX,5
C729,AAPL,20
C456,AMZN,20
C592,AMD,-10
C52,TSLA,10
C666,AMD,5
C585,TSLA,5
C568,AAPL,20
C742,INTC,-10
C327,MSFT,-10
C319,INTC,5
C666,MSFT,5
C431,NVDA,20
C255,MSFT,5
C643,FAKE,-10
C839,MSFT,5
C166,INTC,20
C967,GOOGL,20
C515,TSLA,20
C211,MSFT,20
C993,META,20
C898,FAKE,-10
C70,TSLA,-10
C670,AAPL,20
C744,INTC,10
C774,INTC,10
C728,META,10
C510,TSLA,10
C894,MSFT,5
C36,GOOGL,20
C343,META,20
C486,AAPL,5
C946,GOOGL,10
C989,AAPL,20
C597,AMZN,20
C937,AAPL,10
C248,INTC,5
C984,AMZN,5
C61,NFLX,20
C977,MSFT,20
C74,MSFT,-10
C641,INTC,10
C773,AAPL,5
C313,META,20
C739,AAPL,10
C177,GOOGL,10
C319,AMD,5
C230,META,5
C822,TSLA,20
C142,NVDA,20
C436,AMZN,-10
C762,META,-10
C276,AAPL,-10
C577,NVDA,10
C817,META,10
C729,FAKE,5
C643,GOOGL,20
C501,AMZN,10
C434,FAKE,20
C25,FAKE,5
C220,META,20
C654,MSFT,-10
C449,META,5
C769,NFLX,10
C204,META,5
C471,NVDA,5
C969,GOOGL,20
C359,FAKE,20
C413,INTC,-10
C477,GOOGL,-10
C162,NFLX,-10
C478,FAKE,10
C18,MSFT,20
C368,NVDA,10
C463,INTC,5
C560,AMZN,5
C614,NVDA,-10
C98,TSLA,-10
C42,AAPL,10
C326,AMZN,10
C537,AMZN,-10
C827,NFLX,5
C909,TSLA,10
C791,AAPL,-10
C406,NFLX,5
C462,TSLA,5
C412,GOOGL,20
C659,AMD,20
C276,AMD,20
C211,INTC,10
C133,AMD,5
C32,FAKE,-10
C511,TSLA,-10
C403,AAPL,20
C831,AMD,20
C832,NVDA,-10
C563,META,-10
C721,GOOGL,5
C996,GOOGL,10
C219,META,5
C897,NVDA,-10
C489,AAPL,-10
C736,INTC,-10
C753,GOOGL,-10
C602,FAKE,5
C866,AMZN,-10
C520,AMD,10
C897,INTC,20
C414,GOOGL,5
C440,FAKE,-10
C709,FAKE,20
C162,NVDA,10
C189,MSFT,5
C181,FAKE,5
C220,GOOGL,5
C748,INTC,5
C359,AMZN,5
C749,AAPL,5
C709,FAKE,10
C863,AMD,10
C186,META,-10
C290,MSFT,20
C927,AMD,5
C721,INTC,5
C257,AMZN,5
C809,AMD,-10
C474,MSFT,-10
C251,NFLX,-10
C37,GOOGL,5
C346,META,-10
C291,AMZN,10
C445,NFLX,-10
C984,MSFT,5
C108,NFLX,20
C135,AAPL,10
C39,META,20
C549,NVDA,10
C278,MSFT,5
C910,FAKE,-10
C554,AAPL,-10
C398,TSLA,20
C415,MSFT,5
C905,GOOGL,-10
C901,NVDA,10
C224,NFLX,10
C237,MSFT,10
C784,FAKE,5
C497,MSFT,5
C412,MSFT,-10
C245,FAKE,20
C992,AMZN,10
C605,NVDA,10
C423,NVDA,20
C658,NFLX,10
C491,AAPL,-10
C76,TSLA,5
C211,TSLA,-10
C677,AMZN,-10
C141,MSFT,5
C465,NVDA,10
C791,FAKE,-10
C800,AMD,20
C658,MSFT,5
C923,META,-10
C843,FAKE,10
C496,TSLA,10
C704,MSFT,20
C909,NFLX,10
C469,META,-10
C88,INTC,10
C487,NVDA,20
C714,FAKE,5
C664,INTC,5
C931,TSLA,5
C704,GOOGL,20
C902,AMZN,5
C32,AMD,5
C906,MSFT,10
C317,NVDA,-10
C170,AMD,-10
C384,TSLA,5
C962,NFLX,5
C251,MSFT,5
C840,NVDA,-10
C593,NFLX,5
C279,AAPL,5
C304,FAKE,-10
C669,GOOGL,20
C991,META,10
C565,NVDA,10
C932,MSFT,5
C385,TSLA,5
C319,GOOGL,5
C53,INTC,5
C992,FAKE,5
C898,META,20
C532,AMD,5
C364,INTC,10
C81,MSFT,10
C884,NVDA,10
C834,TSLA,10
C43,AAPL,5
C847,AMD,10
C468,AMZN,10
C588,INTC,10
C39,GOOGL,20
C819,AMZN,-10
C530,TSLA,20
C377,AAPL,20
C152,GOOGL,5
C886,MSFT,5
C371,NFLX,10
C914,AMZN,5
C846,MSFT,20
C718,GOOGL,5
C256,INTC,10
C90,FAKE,10
C734,GOOGL,10
C163,AAPL,10
C390,INTC,5
C566,INTC,20
C598,META,20
C728,MSFT,-10
