txn_id,customer_id,ticker,quantity,price,timestamp,txn_type
T0,C617,NFLX,-3,300,2026-04-24 07:35:32.712157,BUY
T1,C17,TSLA,-3,200,invalid_time,SELL
T2,C552,MSFT,5,100,invalid_time,BUY
T3,C9999,AMZN,-3,-50,invalid_time,BUY
T4,C707,AMD,-3,-50,invalid_time,BUY
T5,C506,INTC,5,300,2026-04-24 07:01:32.712157,BUY
T6,C485,AMD,1,100,invalid_time,BUY
T7,C853,AAPL,-3,200,2026-04-24 05:37:32.712157,BUY
T8,C9999,GOOGL,5,300,2026-04-24 10:41:32.712157,BUY
T9,C498,AMD,-3,200,invalid_time,SELL
T10,C9999,MSFT,10,-50,2026-04-24 08:25:32.712157,SELL
T11,C9999,AMZN,5,100,2026-04-23 20:47:32.712157,SELL
T12,C9999,INTC,5,100,2026-04-24 11:28:32.712157,BUY
T13,C9999,AMZN,-3,200,invalid_time,SELL
T14,C72,AMZN,0,-50,2026-04-23 22:46:32.712157,BUY
T15,C9999,AAPL,10,300,2026-04-24 04:37:32.712157,SELL
T16,C9999,AMZN,0,100,2026-04-24 09:55:32.712157,BUY
T17,C9999,META,10,300,2026-04-24 02:12:32.712157,SELL
T18,C9999,TSLA,1,-50,2026-04-24 09:28:32.712157,BUY
T19,C9999,GOOGL,10,300,invalid_time,BUY
T20,C280,INTC,0,-50,2026-04-24 10:15:32.712157,SELL
T21,C9999,META,-3,-50,2026-04-24 12:13:32.712157,BUY
T22,C9999,META,1,200,invalid_time,BUY
T23,C9999,NFLX,5,100,2026-04-23 22:06:32.712157,SELL
T24,C9999,AAPL,-3,200,2026-04-24 07:06:32.712157,SELL
T25,C908,META,0,100,2026-04-24 00:53:32.712157,SELL
T26,C650,NFLX,-3,300,2026-04-24 02:43:32.712157,SELL
T27,C659,AAPL,-3,100,2026-04-23 21:31:32.712157,BUY
T28,C9999,TSLA,10,-50,invalid_time,SELL
T29,C320,AAPL,0,-50,2026-04-24 12:14:32.712157,BUY
T30,C735,GOOGL,5,300,2026-04-24 08:30:32.712157,BUY
T31,C40,AMZN,5,100,2026-04-23 21:14:32.712157,SELL
T32,C338,INTC,10,100,2026-04-24 01:32:32.712157,SELL
T33,C858,AMZN,-3,100,2026-04-24 02:48:32.712157,SELL
T34,C9999,GOOGL,1,-50,2026-04-24 04:06:32.712157,SELL
T35,C9999,NFLX,0,100,2026-04-24 12:02:32.712157,BUY
T36,C798,META,-3,200,2026-04-24 05:05:32.712157,BUY
T37,C9999,META,0,200,2026-04-23 22:17:32.712157,BUY
T38,C95,NFLX,-3,200,invalid_time,BUY
T39,C688,TSLA,0,300,2026-04-24 12:15:32.712157,BUY
T40,C9999,META,10,-50,invalid_time,SELL
T41,C335,AMZN,10,300,invalid_time,BUY
T42,C9999,AAPL,0,300,2026-04-24 00:13:32.712157,SELL
T43,C233,NFLX,5,100,2026-04-24 08:57:32.712157,BUY
T44,C9999,INTC,0,300,invalid_time,BUY
T45,C161,GOOGL,0,-50,2026-04-24 10:47:32.712157,BUY
T46,C9999,META,0,200,invalid_time,BUY
T47,C9999,AMD,5,100,invalid_time,SELL
T48,C9999,NVDA,10,300,invalid_time,BUY
T49,C994,TSLA,10,100,invalid_time,SELL
T50,C19,NVDA,-3,100,invalid_time,SELL
T51,C478,AAPL,-3,200,2026-04-24 11:12:32.712157,SELL
T52,C9999,INTC,10,100,invalid_time,SELL
T53,C250,INTC,10,100,invalid_time,BUY
T54,C9999,NVDA,10,100,2026-04-24 10:07:32.712157,BUY
T55,C9999,TSLA,10,300,invalid_time,SELL
T56,C9999,AAPL,1,-50,2026-04-24 09:58:32.712157,SELL
T57,C90,NVDA,1,-50,invalid_time,SELL
T58,C469,META,1,-50,invalid_time,SELL
T59,C632,META,0,200,2026-04-24 09:08:32.712157,BUY
T60,C9999,TSLA,5,200,invalid_time,BUY
T61,C9999,GOOGL,1,200,2026-04-23 21:50:32.712157,SELL
T62,C9999,AAPL,1,200,invalid_time,SELL
T63,C964,AAPL,5,300,invalid_time,BUY
T64,C9999,META,5,200,invalid_time,SELL
T65,C558,META,1,300,2026-04-24 02:55:32.712157,SELL
T66,C253,AMZN,5,200,invalid_time,BUY
T67,C78,MSFT,1,200,invalid_time,BUY
